"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"SG_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"NM_REGIAO";"SG_UF_PROGRAMA";"SG_ENTIDADE_ENSINO";"NM_PROGRAMA_IES";"NM_GRAU_PROGRAMA";"QFDPD";"QFDPM";"QFDPG";"QPPP";"DFDDo";"DFDM";"DFDG";"FCDo"
"1";"10001018002P1";"CIÊNCIAS BIOLÓGICAS III";"CBIII";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"3";"NORTE";"RO";"UNIR";"BIOLOGIA EXPERIMENTAL";"MESTRADO/DOUTORADO";10;7;7;15;0,666666666666667;0,466666666666667;0,466666666666667;0,533333333333333
"2";"10001018004P4";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";"NORTE";"RO";"UNIR";"DESENVOLVIMENTO REGIONAL E MEIO AMBIENTE";"MESTRADO/DOUTORADO";13;13;11;15;0,866666666666667;0,866666666666667;0,733333333333333;0,822222222222222
"3";"10001018005P0";"GEOGRAFIA";"GEOG";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";"NORTE";"RO";"UNIR";"GEOGRAFIA";"MESTRADO/DOUTORADO";5;6;4;15;0,333333333333333;0,4;0,266666666666667;0,333333333333333
"4";"10001018006P7";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";"NORTE";"RO";"UNIR";"ADMINISTRAÇÃO";"MESTRADO";7;5;6;9;0,777777777777778;0,555555555555556;0,666666666666667;0,666666666666667
"5";"10001018009P6";"PSICOLOGIA";"PSICO";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"NORTE";"RO";"UNIR";"PSICOLOGIA";"MESTRADO";4;4;5;10;0,4;0,4;0,5;0,433333333333333
"6";"10001018010P4";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORTE";"RO";"UNIR";"LETRAS";"MESTRADO";10;5;6;15;0,666666666666667;0,333333333333333;0,4;0,466666666666667
"7";"10001018011P0";"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORTE";"RO";"UNIR";"EDUCAÇÃO";"MESTRADO";5;6;10;11;0,454545454545455;0,545454545454545;0,909090909090909;0,636363636363636
"8";"10001018012P7";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";"NORTE";"RO";"UNIR";"ESTUDOS LITERÁRIOS";"MESTRADO";10;8;7;14;0,714285714285714;0,571428571428571;0,5;0,595238095238095
"9";"10001018016P2";"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";2014;"PROFISSIONAL";"3";"NORTE";"RO";"UNIR";"EDUCAÇÃO ESCOLAR";"MESTRADO PROF.";5;10;10;17;0,294117647058824;0,588235294117647;0,588235294117647;0,490196078431373
"10";"10001018017P9";"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";"NORTE";"RO";"UNIR";"CIÊNCIAS AMBIENTAIS";"MESTRADO";10;12;10;15;0,666666666666667;0,8;0,666666666666667;0,711111111111111
"11";"10001018039P2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;11;11;14;0,714285714285714;0,785714285714286;0,785714285714286;0,761904761904762
"12";"10001018040P0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;11;10;12;0,75;0,916666666666667;0,833333333333333;0,833333333333333
"13";"11001011001P8";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";1996;"ACADÊMICO";"3";"NORTE";"AC";"UFAC";"ECOLOGIA E MANEJO DE RECURSOS NATURAIS";"MESTRADO";11;10;4;15;0,733333333333333;0,666666666666667;0,266666666666667;0,555555555555555
"14";"11001011003P0";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";"NORTE";"AC";"UFAC";"LETRAS- LINGUAGEM E IDENTIDADE";"MESTRADO";11;8;8;15;0,733333333333333;0,533333333333333;0,533333333333333;0,6
"15";"11001011004P7";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";"NORTE";"AC";"UFAC";"PRODUÇÃO VEGETAL";"MESTRADO/DOUTORADO";6;9;6;17;0,352941176470588;0,529411764705882;0,352941176470588;0,411764705882353
"16";"11001011005P3";"SAÚDE COLETIVA";"SCOL";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"4";"NORTE";"AC";"UFAC";"SAÚDE COLETIVA";"MESTRADO/DOUTORADO";6;8;8;13;0,461538461538462;0,615384615384615;0,615384615384615;0,564102564102564
"17";"11001011006P0";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";"NORTE";"AC";"UFAC";"CIÊNCIA, INOVAÇÃO E TECNOLOGIA PARA A AMAZÔNIA";"MESTRADO";11;11;11;15;0,733333333333333;0,733333333333333;0,733333333333333;0,733333333333333
"18";"11001011007P6";"ENSINO";"ENSI";"FEDERAL";"PÚBLICA";2014;"PROFISSIONAL";"3";"NORTE";"AC";"UFAC";"ENSINO DE CIÊNCIAS E MATEMÁTICA";"MESTRADO PROF.";7;10;10;15;0,466666666666667;0,666666666666667;0,666666666666667;0,6
